Cidades,Nome da cidade,Visualizações intencionais,Porcentagem visualizada média (%),Continuaram assistindo (%),Visualizações,Tempo de exibição (horas),Duração média da visualização
0xbdd5d1be81b545:0xee97b136e7168ee1,"Campos dos Goytacazes, RJ, Brasil",28,186.47,71.79,39,0.5239,0:01:07
0x7463b073025e405:0x78be45452bd92ae3,"Vitória da Conquista, BA, Brasil",26,71.48,69.44,39,0.193,0:00:26
0x94b0a9b35dc60831:0x68b8558a69681462,"Franca, SP, Brasil",26,94.04,86.67,35,0.2465,0:00:33
0x94cf24293cc00531:0xf686a1c1163c6bbb,"Jundiaí - Aglomeração Urbana de Jundiaí, Jundiaí - SP, Brasil",26,82.29,71.43,38,0.2221,0:00:30
0x951ebcd16435f073:0xf514f707b5773bf4,"Caxias do Sul, RS, Brasil",26,96.66,78.79,41,0.2537,0:00:34
0x92325b665998520b:0x75d0f25ad2c5198b,"Porto Velho, RO, Brasil",25,73.11,89.29,25,0.1777,0:00:25
0x995d694889f955:0x23ff502568217834,"Nova Iguaçu, RJ, Brasil",25,69.49,71.43,30,0.174,0:00:24
0x71439dbd0766da9:0xed4d58d8df9d5ffe,"Feira de Santana - Maria Quitéria, Feira de Santana - BA, Brasil",24,96.84,63.16,39,0.2384,0:00:35
0x3f8e00491ff3dcd9:0xf0b3697c567024bc,"Teerã, Irã",23,80.53,95.83,23,0.1801,0:00:28
0x917f7bb68acc96f3:0x8ab88f1d7f1d9b3c,"Rio Branco, AC, Brasil",22,93.55,84.62,30,0.2077,0:00:33
0x94ccf8ea3cf365e7:0xe826950860bd7f50,"Taubaté - Quiririm, Taubaté - SP, Brasil",22,93.22,84.62,37,0.2125,0:00:34
0x94df1e408b5c3095:0xacfb8520bc1a7644,"Blumenau, SC, Brasil",22,82.09,100,22,0.1756,0:00:28
0x94e81ac65f102321:0xacb0f4e64629b2f1,"Ponta Grossa, PR, Brasil",22,63.27,75.86,29,0.1401,0:00:22
0x94bf689c0ddaa221:0x251c368f6fa134a0,"Bauru, SP, Brasil",21,79.78,84,25,0.1681,0:00:28
0x94ce03423c3b1c3b:0x584dceedfc63644f,"Santos, SP, Brasil",20,92.4,80,30,0.1856,0:00:33
0x94ce7176a5cf4309:0x7678f276a368e6e2,"Suzano - Palmeiras de São Paulo, Suzano - SP, Brasil",20,70.11,90.91,20,0.1363,0:00:24
0x94cfa8da1b269d77:0xb03b39035ef04ea5,"Cotia - Caucaia do Alto, Cotia - SP, Brasil",20,66.86,71.43,24,0.1348,0:00:24
0x705d59f85ab6275:0x60b6f0374f7f3fba,"Arapiraca, AL, Brasil",18,250.06,85.71,27,0.465,0:01:32
0x933b3439911f1257:0x93b8070d05c818f,"Palmas, TO, Brasil",17,79.88,94.44,17,0.132,0:00:27
0x94cdd851f596f5e1:0x6ccc8b4e43c28b9f,"Mogi das Cruzes - Brás Cubas, Mogi das Cruzes - SP, Brasil",17,106.13,73.91,32,0.1877,0:00:39
0x94ecd6ee42618c1f:0xc356592828e03925,"Maringá, PR, Brasil",17,81.95,77.27,33,0.1458,0:00:30
0x311d6032280d61f3:0x10100b25de24820,"Bangkok, Tailândia",16,99.27,94.12,16,0.1544,0:00:34
0x8d61e5e06b4b1a37:0x56357df330df0f97,"Macapá, AP, Brasil",16,67.03,88.89,16,0.1043,0:00:23
0x99ba6b8f48073b:0x619771a80c4de585,"Guapimirim, RJ, -, Brasil",16,70.87,84.21,16,0.1102,0:00:24
0x989c43e1f85da1:0x6236b026b3a0a468,"Juiz de Fora, MG, Brasil",15,95.34,93.75,15,0.139,0:00:33
0xd2465abc4e153c1:0xa648d95640b114bc,"Porto, Portugal",15,75.33,83.33,15,0.1099,0:00:26
0xa6c24a5fb01f9b:0xdae51d9facff118f,"Betim, MG, Brasil",14,73.33,87.5,14,0.0998,0:00:25
0x94bdad614c2df789:0x8f2fb0f070642c09,"São José do Rio Preto, SP, Brasil",13,76.98,68.42,22,0.1053,0:00:28
0x94cf03dd6a1db995:0x70548836d6e4a9a2,"Barueri, SP, Brasil",13,86.62,92.86,19,0.116,0:00:32
0x7c0b56dfdbff18d:0xa8ded9006dd0d827,"Caucaia - Jurema, Caucaia - CE, Brasil",12,68.76,92.31,12,0.0802,0:00:24
0x94ce445de3962263:0x9ca2ba904b9421db,"Diadema, SP, Brasil",12,68.39,75,15,0.0862,0:00:25
0x94cf4ca60d3490fd:0x22c4318b2dde5682,"Indaiatuba, SP, Brasil",12,88.79,78.57,21,0.1118,0:00:32
0x1ee69723b666da55:0x42497f579a6bb442,"Maputo, Moçambique",11,79.37,91.67,11,0.0849,0:00:27
0x7070d200a110927:0x51f45fae994f83b3,"Garanhuns, PE, Brasil",11,63.47,84.62,11,0.0679,0:00:22
0x935ea462bcef4687:0xcffa52b54537af5a,"Anápolis, GO, Brasil",11,74.33,84.62,11,0.0795,0:00:26
0x94bfd72c62b64a63:0xa6490d177f5adcfa,"Marília, SP, Brasil",11,100.41,78.57,19,0.1153,0:00:37
