"Date","Total Viewers","New Viewers","Returning Viewers"
"21 de julho","0","0","0"
"22 de julho","0","0","0"
"23 de julho","0","0","0"
"24 de julho","0","0","0"
"25 de julho","0","0","0"
"26 de julho","0","0","0"
"27 de julho","0","0","0"
"28 de julho","1","0","1"
"29 de julho","0","0","0"
"30 de julho","0","0","0"
"31 de julho","0","0","0"
"1 de agosto","0","0","0"
"2 de agosto","0","0","0"
"3 de agosto","0","0","0"
"4 de agosto","0","0","0"
"5 de agosto","0","0","0"
"6 de agosto","0","0","0"
"7 de agosto","1","1","0"
"8 de agosto","0","0","0"
"9 de agosto","0","0","0"
"10 de agosto","0","0","0"
"11 de agosto","0","0","0"
"12 de agosto","1","1","0"
"13 de agosto","0","0","0"
"14 de agosto","0","0","0"
"15 de agosto","0","0","0"
"16 de agosto","0","0","0"
"17 de agosto","0","0","0"
"18 de agosto","0","0","0"
"19 de agosto","1","1","0"
"20 de agosto","0","0","0"
"21 de agosto","0","0","0"
"22 de agosto","0","0","0"
"23 de agosto","0","0","0"
"24 de agosto","0","0","0"
"25 de agosto","0","0","0"
"26 de agosto","0","0","0"
"27 de agosto","1","1","0"
"28 de agosto","0","0","0"
"29 de agosto","0","0","0"
"30 de agosto","1","1","0"
"31 de agosto","0","0","0"
"1 de setembro","0","0","0"
"2 de setembro","0","0","0"
"3 de setembro","0","0","0"
"4 de setembro","0","0","0"
"5 de setembro","0","0","0"
"6 de setembro","0","0","0"
"7 de setembro","0","0","0"
"8 de setembro","0","0","0"
"9 de setembro","0","0","0"
"10 de setembro","0","0","0"
"11 de setembro","0","0","0"
"12 de setembro","0","0","0"
"13 de setembro","0","0","0"
"14 de setembro","0","0","0"
"15 de setembro","1","1","0"
"16 de setembro","1","1","0"
"17 de setembro","0","0","0"
"18 de setembro","0","0","0"
"19 de setembro","0","0","0"
"20 de setembro","1","1","0"
"21 de setembro","0","0","0"
"22 de setembro","0","0","0"
"23 de setembro","0","0","0"
"24 de setembro","1","1","0"
"25 de setembro","1","1","0"
"26 de setembro","0","0","0"
"27 de setembro","0","0","0"
"28 de setembro","0","0","0"
"29 de setembro","0","0","0"
"30 de setembro","162","161","1"
"1 de outubro","195","190","5"
"2 de outubro","215","204","11"
"3 de outubro","1017","998","19"
"4 de outubro","551","473","78"
"5 de outubro","521","485","36"
"6 de outubro","56","49","7"
"7 de outubro","13","11","2"
