Tráfego orgânico e pago,Visualizações intencionais,Porcentagem visualizada média (%),Continuaram assistindo (%),Hypes,Pontos de hype,"Marcações ""Não gostei""","""Gostei"" (vs. ""Não gostei"") (%)",Visualizações,Tempo de exibição (horas),Duração média da visualização,Compartilhamentos,"Marcações ""Gostei"""
Total,42617,71.06,65.71,0,0,74,96.35,64194,348.3269,0:00:28,56,1954
Orgânico,28278,68.57,60.99,0,0,71,94.89,49848,241.0173,0:00:29,0,1319
