Data,Status da inscrição,Visualizações intencionais
2025-06-13,Inscrito,0
2025-06-14,Inscrito,0
2025-06-15,Inscrito,0
2025-06-16,Inscrito,0
2025-06-17,Inscrito,0
2025-06-18,Inscrito,0
2025-06-19,Inscrito,0
2025-06-20,Inscrito,0
2025-06-21,Inscrito,0
2025-06-22,Inscrito,0
2025-06-23,Inscrito,0
2025-06-24,Inscrito,0
2025-06-25,Inscrito,0
2025-06-26,Inscrito,0
2025-06-27,Inscrito,0
2025-06-28,Inscrito,0
2025-06-29,Inscrito,0
2025-06-30,Inscrito,0
2025-07-01,Inscrito,0
2025-07-02,Inscrito,0
2025-07-03,Inscrito,0
2025-07-04,Inscrito,0
2025-07-05,Inscrito,0
2025-07-06,Inscrito,0
2025-07-07,Inscrito,0
2025-07-08,Inscrito,0
2025-07-09,Inscrito,0
2025-07-10,Inscrito,0
2025-07-11,Inscrito,0
2025-07-12,Inscrito,0
2025-07-13,Inscrito,0
2025-07-14,Inscrito,0
2025-07-15,Inscrito,0
2025-07-16,Inscrito,0
2025-07-17,Inscrito,0
2025-07-18,Inscrito,0
2025-07-19,Inscrito,0
2025-07-20,Inscrito,0
2025-07-21,Inscrito,0
2025-07-22,Inscrito,0
2025-07-23,Inscrito,0
2025-07-24,Inscrito,0
2025-07-25,Inscrito,0
2025-07-26,Inscrito,0
2025-07-27,Inscrito,0
2025-07-28,Inscrito,0
2025-07-29,Inscrito,0
2025-07-30,Inscrito,0
2025-07-31,Inscrito,0
2025-08-01,Inscrito,0
2025-08-02,Inscrito,0
2025-08-03,Inscrito,0
2025-08-04,Inscrito,0
2025-08-05,Inscrito,0
2025-08-06,Inscrito,0
2025-08-07,Inscrito,0
2025-08-08,Inscrito,0
2025-08-09,Inscrito,0
2025-08-10,Inscrito,0
2025-08-11,Inscrito,0
2025-08-12,Inscrito,0
2025-08-13,Inscrito,0
2025-08-14,Inscrito,0
2025-08-15,Inscrito,0
2025-08-16,Inscrito,0
2025-08-17,Inscrito,0
2025-08-18,Inscrito,0
2025-08-19,Inscrito,0
2025-08-20,Inscrito,0
2025-08-21,Inscrito,0
2025-08-22,Inscrito,0
2025-08-23,Inscrito,0
2025-08-24,Inscrito,0
2025-08-25,Inscrito,0
2025-08-26,Inscrito,0
2025-08-27,Inscrito,0
2025-08-28,Inscrito,0
2025-08-29,Inscrito,0
2025-08-30,Inscrito,0
2025-08-31,Inscrito,0
2025-09-01,Inscrito,0
2025-09-02,Inscrito,0
2025-09-03,Inscrito,0
2025-09-04,Inscrito,0
2025-09-05,Inscrito,0
2025-09-06,Inscrito,0
2025-09-07,Inscrito,0
2025-09-08,Inscrito,0
2025-09-09,Inscrito,0
2025-09-10,Inscrito,0
2025-09-11,Inscrito,0
