Status da inscrição,Visualizações intencionais,Inscritos,Porcentagem visualizada média (%),Continuaram assistindo (%),Hypes,Pontos de hype,Inscrições obtidas,Inscrições perdidas,"Marcações ""Gostei""","Marcações ""Não gostei""","""Gostei"" (vs. ""Não gostei"") (%)",Compartilhamentos,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,42617,186,71.06,65.71,0,0,229,43,1954,74,96.35,56,64194,348.3269,0:00:28
Não inscrito,42261,0,71.24,65.69,0,0,0,0,1861,74,96.18,49,63593,345.2085,0:00:28
Inscrito,356,186,55.62,67.56,0,0,229,43,93,0,100,7,603,3.1193,0:00:30
