Gênero do espectador,Visualizações intencionais (%),Continuaram assistindo (%),Visualizações (%),Duração média da visualização,Porcentagem visualizada média (%),Tempo de exibição (horas) (%)
Masculino,72.96,,71.75,0:00:28,72.11,72.96
Feminino,27.04,,28.25,0:00:28,70.02,27.04
