Tipo de conteúdo,Visualizações intencionais,Inscritos,Porcentagem visualizada média (%),Vídeos publicados,Impressões,Taxa de cliques de impressões (%),Continuaram assistindo (%),Espectadores únicos,Novos espectadores,Espectadores recorrentes,Espectadores casuais,Espectadores recorrentes,Hypes,Pontos de hype,Inscrições obtidas,Inscrições perdidas,"Marcações ""Gostei""","Marcações ""Não gostei""","""Gostei"" (vs. ""Não gostei"") (%)",Compartilhamentos,Comentários adicionados,Visualizações,Tempo de exibição (horas),Duração média da visualização
Total,42617,186,71.06,23,8740,7.93,65.71,0,0,0,0,0,0,0,229,43,1954,74,96.35,56,61,64194,348.3269,0:00:28
Shorts,42598,215,71.91,22,8663,7.99,65.71,,,,,,0,0,219,4,1953,74,96.35,56,61,64175,348.291,0:00:28
Vídeos,19,1,0.62,1,77,1.3,,,,,,,0,0,1,0,1,0,100,0,0,19,0.0359,0:00:06
Outros,0,-30,,,0,,,,,,,,0,0,9,39,0,0,,0,0,0,0,
